date,chrome-version,chrome-aspect-ratio,chrome-css-flexbox,chrome-css-grid,chrome-css-transforms,chrome-position-sticky,firefox-version,firefox-aspect-ratio,firefox-css-flexbox,firefox-css-grid,firefox-css-transforms,firefox-position-sticky,webkitgtk-version,webkitgtk-aspect-ratio,webkitgtk-css-flexbox,webkitgtk-css-grid,webkitgtk-css-transforms,webkitgtk-position-sticky
2020-12-15,89.0.4350.4 dev,0.8742138364779874,0.8564198118194312,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.8930817610062893,0.871197704927486,0.8740971182940409,0.7172350236669264,0.8410852713178296,2.31.0 (r270612),0.24528301886792453,0.8169466204362794,0.8902200706507287,0.6750517850077831,0.7596899224806203
2020-12-16,89.0.4350.4 dev,0.8742138364779874,0.8564198118194312,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.8930817610062893,0.871197704927486,0.8740971182940409,0.7173672987992015,0.8410852713178296,2.31.0 (r270612),0.24528301886792453,0.8169466204362794,0.8902200706507287,0.6750517850077831,0.7596899224806203
2020-12-17,89.0.4356.6 dev,0.9056603773584906,0.8564198118194312,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.89937106918239,0.871197704927486,0.8740971182940409,0.7173672987992015,0.8410852713178296,2.31.0 (r270612),0.24528301886792453,0.8169466204362794,0.8902200706507287,0.6750517850077831,0.7596899224806203
2020-12-18,89.0.4356.6 dev,0.9056603773584906,0.8564198118194312,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.89937106918239,0.871197704927486,0.8740971182940409,0.7173672987992015,0.8410852713178296,2.31.0 (r270612),0.24528301886792453,0.8169466204362794,0.8902200706507287,0.6750517850077831,0.7596899224806203
2020-12-19,89.0.4356.6 dev,0.9056603773584906,0.8564198118194312,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.89937106918239,0.871197704927486,0.8740971182940409,0.7173672987992015,0.8410852713178296,2.31.0 (r270612),0.24528301886792453,0.8169466204362794,0.8902200706507287,0.6763745363305345,0.7596899224806203
2020-12-21,89.0.4356.6 dev,0.9056603773584906,0.8574981499101384,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.89937106918239,0.8731006544993224,0.8740971182940409,0.7173672987992015,0.8410852713178296,2.31.0 (r270612),0.24528301886792453,0.8180249585269866,0.8902200706507287,0.6750517850077831,0.7596899224806203
2020-12-22,89.0.4356.6 dev,0.9056603773584906,0.8574981499101384,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.89937106918239,0.8731006544993224,0.8740971182940409,0.7173672987992015,0.8410852713178296,2.31.0 (r271055),0.24528301886792453,0.8184719807765528,0.8913287181008396,0.6751680120541571,0.7596899224806203
2020-12-23,89.0.4356.6 dev,0.9056603773584906,0.8584496246960566,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.89937106918239,0.8740521292852406,0.8740971182940409,0.7173672987992015,0.8410852713178296,2.31.0 (r271068),0.24528301886792453,0.819423455562471,0.8902200706507287,0.6751680120541571,0.7596899224806203
2020-12-24,89.0.4356.6 dev,0.9056603773584906,0.8584496246960566,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.89937106918239,0.8740521292852406,0.8740971182940409,0.7173672987992015,0.8410852713178296,2.31.0 (r271081),0.24528301886792453,0.819423455562471,0.8902200706507287,0.6751680120541571,0.7596899224806203
2020-12-27,89.0.4356.6 dev,0.9056603773584906,0.8584496246960566,0.9165407609081346,0.7314305877807685,0.8837209302325582,86.0a1,0.89937106918239,0.8740521292852406,0.8740971182940409,0.7173672987992015,0.8410852713178296,2.31.0 (r271092),0.24528301886792453,0.819423455562471,0.8902200706507287,0.6751680120541571,0.7596899224806203
